Date,Open,High,Low,Close,Adj Close,Volume
2011-03-24,89.27999877929688,90.9000015258789,89.12000274658203,90.79000091552734,77.46710968017578,2527400
2011-03-25,90.87000274658203,91.05999755859375,89.8499984741211,90.27999877929688,77.031982421875,2311000
2011-03-28,91.08999633789062,93.68000030517578,90.5999984741211,93.0199966430664,79.3698959350586,4364500
2011-03-29,92.93000030517578,93.30000305175781,92.12999725341797,93.04000091552734,79.386962890625,1753900
2011-03-30,93.30999755859375,94.4000015258789,93.13999938964844,93.75,79.99272918701172,1639600
2011-03-31,93.20999908447266,94.41000366210938,93.0199966430664,93.55000305175781,79.8221206665039,1613500
2011-04-01,95.0,96.5,94.58000183105469,95.0,81.05935668945312,3424800
2011-04-04,95.01000213623047,95.41999816894531,94.45999908447266,95.12000274658203,81.16173553466797,1309700
2011-04-05,94.69000244140625,95.27999877929688,94.11000061035156,94.19000244140625,80.36820220947266,1436900
2011-04-06,95.16000366210938,95.3499984741211,93.80000305175781,94.58999633789062,80.70951080322266,1620200
2011-04-07,94.26000213623047,94.72000122070312,93.41000366210938,93.91000366210938,80.12928771972656,1475000
2011-04-08,93.8499984741211,94.18000030517578,90.81999969482422,91.16000366210938,77.78285217285156,2919300
2011-04-11,91.30000305175781,92.86000061035156,90.66000366210938,92.52999877929688,78.95178985595703,3345600
2011-04-12,92.16999816894531,94.4000015258789,91.95999908447266,94.08000183105469,80.27434539794922,3368000
2011-04-13,94.58999633789062,94.66999816894531,93.06999969482422,93.43000030517578,79.71976470947266,2108900
2011-04-14,92.94000244140625,93.98999786376953,92.66000366210938,92.94000244140625,79.3016357421875,2148800
2011-04-15,93.01000213623047,93.3499984741211,92.19000244140625,92.58000183105469,78.99446868896484,1976000
2011-04-18,91.33999633789062,92.23999786376953,91.0999984741211,91.95999908447266,78.4654312133789,2293200
2011-04-19,92.51000213623047,92.9800033569336,91.5199966430664,91.8499984741211,78.37156677246094,1678500
2011-04-20,93.0,94.19000244140625,92.36000061035156,93.2300033569336,79.549072265625,1901200
2011-04-21,93.72000122070312,94.2300033569336,93.38999938964844,93.94000244140625,80.15489959716797,1816300
2011-04-25,93.75,94.12999725341797,92.9000015258789,93.8499984741211,80.0781021118164,1347000
2011-04-26,94.26000213623047,95.02999877929688,94.05999755859375,94.48999786376953,80.62416076660156,1900000
2011-04-27,94.6500015258789,94.98999786376953,93.37000274658203,94.80000305175781,80.88867950439453,1513500
2011-04-28,94.52999877929688,95.76000213623047,94.44999694824219,95.27999877929688,81.2982406616211,1614500
2011-04-29,95.55000305175781,96.25,95.30000305175781,95.66999816894531,81.63101959228516,1431400
2011-05-02,96.25,96.88999938964844,94.02999877929688,94.37000274658203,80.52178955078125,2280800
2011-05-03,94.0,94.77999877929688,93.62999725341797,94.22000122070312,80.39380645751953,1528300
2011-05-04,93.69999694824219,94.58000183105469,92.41999816894531,92.63999938964844,79.0456771850586,2292800
2011-05-05,92.16000366210938,95.98999786376953,91.80000305175781,95.29000091552734,81.30679321289062,3636400
2011-05-06,96.13999938964844,96.38999938964844,95.13999938964844,95.6500015258789,81.61396789550781,2520900
2011-05-09,95.5999984741211,95.63999938964844,94.55999755859375,94.91000366210938,80.98255157470703,1542000
2011-05-10,95.36000061035156,96.23999786376953,95.16000366210938,95.73999786376953,81.69075012207031,1658800
2011-05-11,95.43000030517578,96.5,94.79000091552734,95.16000366210938,81.19586181640625,2580200
2011-05-12,95.11000061035156,95.12999725341797,94.04000091552734,94.95999908447266,81.02519989013672,2235900
2011-05-13,95.16999816894531,95.5,93.5,93.58000183105469,79.84770965576172,2780400
2011-05-16,93.37999725341797,94.43000030517578,92.9800033569336,93.18000030517578,79.50640869140625,1939600
2011-05-17,92.8499984741211,92.91999816894531,92.05000305175781,92.58999633789062,79.00300598144531,2144000
2011-05-18,92.87000274658203,94.20999908447266,92.30000305175781,93.6500015258789,79.90743255615234,1923100
